id,meigara,code,uriagetuuki1,uriagetuuki2,riekituuki1,riekituuki2,epstuuki1,epstuuki2,uriageshihanki1,uriageshihanki2,uriageshihanki3,riekishihanki1,riekishihanki2,riekishihanki3,epsshihanki1,epsshihanki2,epsshihanki3
3330,イオン,8267,101.01,101.53,101.54,100.94,0.0,96.17,101.2,100.94,98.11,204.17,79.3,-45.24,49.42,-43.69,1238.76
3331,イズミ,8273,101.67,100.31,90.4,91.65,84.95,87.22,94.65,95.45,80.98,122.51,134.09,95.65,116.52,155.46,78.54
3333,フォーバル,8275,86.46,112.01,100.25,112.86,51.62,119.85,103.84,95.75,93.26,102.31,70.8,57.32,87.36,58.33,14.15
3334,平和堂,8276,99.09,99.89,77.22,97.35,71.06,90.97,102.76,101.72,97.25,238.22,140.41,61.49,223.2,154.62,24.7
3335,フジ,8278,100.34,98.66,90.64,99.02,72.27,122.3,103.48,103.0,93.54,193.65,132.08,33.86,103.67,211.05,23.28
3336,ヤオコー,8279,105.84,104.84,111.07,105.49,105.59,107.22,108.25,112.19,117.34,107.49,132.3,160.15,108.04,136.6,162.62
3337,ゼビオ,8281,97.27,98.74,91.0,52.8,21.76,44.6,104.13,88.22,67.2,489.82,194.3,-12.42,404.28,-2101.52,-31.83
3338,ケーズホールディングス,8282,102.77,101.47,100.82,106.36,93.3,93.22,118.09,102.34,114.1,379.66,103.44,219.98,335.09,114.32,211.26
3339,パルタック,8283,103.07,105.02,97.28,110.4,128.56,113.26,105.34,94.03,99.04,122.87,92.32,97.28,120.11,93.46,97.39
3340,三谷産業,8285,90.51,106.08,108.52,97.17,80.59,89.0,112.77,90.64,91.81,186.82,71.5,-590.32,113.29,68.63,-364.44
3341,マックスバリュ西日本,8287,197.5,99.5,101.93,57.21,-268.39,40.2,102.66,104.08,106.53,-118.7,179.31,-461.94,-110.15,414.4,-383.44
3342,Ｏｌｙｍｐｉｃグループ,8289,97.59,96.36,119.75,231.28,114.53,-206.79,99.06,111.45,118.05,442.86,5426.67,533.11,514.95,-2165.52,772.81
3343,日産東京販売ホールディングス,8291,98.3,102.49,92.14,102.27,82.42,124.61,100.9,89.25,74.31,490.44,79.83,-165.51,-457.84,100.27,-245.86
3344,ＡＴグループ,8293,94.5,105.98,75.54,104.39,89.32,93.36,116.15,89.41,71.22,1295.5,97.83,-97.27,468.84,97.88,-0.37
3345,ファミリー,8298,92.95,103.7,71.8,106.68,72.34,100.89,125.98,91.41,68.5,357.33,105.1,47.44,424.81,104.95,50.43
3405,芙蓉総合リース,8424,115.24,104.71,116.1,109.06,103.23,116.28,106.2,99.33,108.52,102.92,101.89,102.78,104.87,101.79,101.21
3406,興銀リース,8425,140.1,96.29,114.67,119.58,92.76,121.48,96.66,101.41,80.61,123.24,75.52,106.68,136.12,118.83,181.44
3407,東京センチュリーリース,8439,109.27,105.47,113.67,105.39,106.07,101.82,104.9,101.0,114.82,88.49,89.61,117.91,81.9,81.59,94.5
3408,フューチャーベンチャーキャピタル,8462,79.23,75.79,63.35,259.68,15.16,83.44,92.31,233.61,133.73,0.0,-600.0,598.08,403.05,-611.63,1449.57
